timestamp,machine_id,temperature_C,vibration_level,machine_runtime_hours,inventory_level_units,pending_orders,supplier_id,supplier_lead_time_days,supplier_quality_score,supplier_reliability_index,fuel_price_index,port_delay_days,market_demand_index,weather_disruption_score,risk_probability,risk_label
51:40.0,MCH_145,68.23700364,20.05177504,66.94583215,781,223,SUP_120,5.237469149,88.00336486,0.95191039,1.168083001,3.779988627,0.443076632,3.019684844,1,High
51:40.0,MCH_220,71.78004492,29.01833217,61.91459655,519,548,SUP_144,3.240668673,70.52610965,0.899822684,1.023400849,0.370571356,0.441820638,4.42795151,0.29163377,Low
51:40.0,MCH_55,72.12333147,22.82116971,117.6470557,1042,206,SUP_105,6.299121903,74.03291294,0.982689656,1.003997821,2.520105064,0.656149196,3.846011558,0.930718467,High
51:40.0,MCH_136,68.63321912,56.45419932,148.3712526,1146,407,SUP_135,2.079148631,87.7111065,0.784713125,1.440016781,2.783734979,0.913844341,8.007735925,1,High
51:40.0,MCH_167,66.34574619,55.81420134,198.3964441,1164,417,SUP_126,6.41797463,91.29648241,0.721562558,1.197536764,1.660927164,0.870263606,1.138096995,0.717513991,Medium
51:40.0,MCH_203,70.98090911,31.80276253,123.7932337,1435,546,SUP_110,2.022625295,88.61171898,0.849551414,1.139199526,0.638871148,0.426066567,9.000542326,0.507762335,Medium
51:40.0,MCH_112,70.4300281,21.24473717,186.6843959,1417,290,SUP_104,5.003131669,70.42626271,0.991337125,1.246263391,0.541834383,0.748722522,0.453860386,0.186074588,Low
51:40.0,MCH_157,61.61552037,45.54956474,101.8490717,755,422,SUP_109,3.255571846,70.92589036,0.998873551,0.963698883,2.357249023,0.445704491,3.865924655,0.849045831,High
51:40.0,MCH_202,73.77654754,22.19474743,88.60033052,1250,541,SUP_121,4.756098156,94.22470533,0.813608388,1.358127437,0.399117085,0.408233062,2.976666359,0.285789064,Low
51:40.0,MCH_240,68.15577378,44.21158848,199.0242608,1189,208,SUP_111,2.799608594,71.43221678,0.737747405,1.01388814,4.828041751,0.577757157,8.707676509,1,High
51:40.0,MCH_244,69.98698448,41.93718116,52.25404786,647,536,SUP_117,5.010720065,86.286426,0.788482641,0.985190109,4.522101267,0.497950748,8.891999323,1,High
51:40.0,MCH_101,68.69548762,49.32143576,70.00220711,1497,534,SUP_150,3.195277171,93.08377113,0.797521713,1.346172238,4.034732777,0.88039136,7.753132062,1,High
51:40.0,MCH_232,69.25390653,53.88457062,99.89023632,393,100,SUP_102,3.13908614,82.67740608,0.861901206,0.925306928,1.389466001,0.439324938,0.495973202,0.573541165,Medium
51:40.0,MCH_155,73.077062,48.54935706,56.99829325,993,286,SUP_126,2.74321349,88.81933176,0.992046533,1.349239681,1.07463559,0.571088208,7.835402406,0.49374313,Low
51:40.0,MCH_78,68.40783402,51.75834968,189.4918887,997,384,SUP_129,6.097864639,92.0861672,0.931810889,1.140750722,4.621378939,0.479227582,4.655070993,1,High
51:40.0,MCH_95,69.46842438,35.30924104,131.3701294,542,506,SUP_127,4.928037888,86.5499661,0.98497842,1.041914221,0.102212544,0.622433939,2.581162023,0.173509537,Low
51:40.0,MCH_91,71.8181747,42.04170945,114.6300016,1442,433,SUP_103,6.78266355,71.30201515,0.906866664,1.276885788,3.331435685,0.875359002,6.833243157,1,High
51:40.0,MCH_204,61.06456421,54.92745097,160.8704234,346,308,SUP_109,3.648251806,79.06398649,0.845745644,1.148153745,3.993823204,0.982269003,9.847418474,1,High
51:40.0,MCH_164,60.36253303,36.87317863,122.5767615,1080,445,SUP_131,5.690651765,94.69666299,0.951104511,1.104766401,4.653041838,0.576521219,2.809153205,1,High
51:40.0,MCH_221,70.99950269,32.28159561,89.22959588,338,339,SUP_115,4.206208564,71.41834669,0.79684044,1.228820055,2.846142911,0.493694653,9.568346243,1,High
51:40.0,MCH_80,72.06559565,21.96001835,171.4075115,336,203,SUP_149,3.446084379,89.95721046,0.915563237,1.349623499,3.767001194,0.890594004,6.408083916,1,High
51:40.0,MCH_116,72.11222733,24.14954408,178.8610687,735,317,SUP_127,4.793259384,93.90589436,0.959163365,1.243648975,2.691968966,0.823725957,3.766358207,0.920202145,High
51:40.0,MCH_134,61.39237586,59.13690525,62.62990329,605,344,SUP_101,3.757732614,76.00837577,0.766589703,1.374444638,1.270616497,0.582126119,0.341673251,0.551953179,Medium
51:40.0,MCH_56,65.91066326,32.65531327,155.2887136,340,121,SUP_105,2.222295498,94.94174045,0.745190835,1.340516849,0.018144462,0.793134524,6.793761637,0.294069378,Low
51:40.0,MCH_209,80.0325372,22.65229384,100.0980185,898,584,SUP_125,6.943182934,88.82288016,0.700220923,0.911319197,2.452146774,0.420509461,7.984572011,1,High
51:40.0,MCH_77,65.82903904,23.29596823,150.7980503,1068,564,SUP_102,2.962366746,73.46292527,0.920432867,1.189830442,3.31823179,0.834370408,9.603367072,1,High
51:40.0,MCH_245,69.74911617,46.40236791,63.38405974,681,514,SUP_106,4.143931958,72.00183734,0.706620837,0.917236532,1.987628564,0.62596735,0.435019489,0.809206751,High
51:40.0,MCH_156,70.76046829,21.80110215,121.1537259,691,411,SUP_106,6.501246962,73.45692901,0.818370076,1.40399778,2.528325663,0.853548896,1.492056716,0.938701871,High
51:40.0,MCH_180,73.23584647,53.24412369,177.5833063,999,335,SUP_145,2.029952396,92.59439811,0.906087781,0.926422467,2.509046198,0.644539539,5.901322274,0.933522231,High
51:40.0,MCH_168,70.90434771,45.06560694,187.7166075,1382,534,SUP_112,2.533540851,83.94103031,0.809282686,1.330795905,1.651444082,0.418978948,4.497676027,0.746755189,Medium
51:40.0,MCH_101,78.34219745,27.0392876,131.2598273,662,294,SUP_103,6.309951403,82.62427493,0.907460985,0.945687188,3.791610927,0.404206025,7.313312065,1,High
51:40.0,MCH_224,68.0456534,22.28635629,97.46500461,533,396,SUP_139,4.726875042,71.41746627,0.902111141,1.005123737,0.04252094,0.747482144,9.47238848,0.293751865,Low
